sender_user_id,receiver_account,receiver_account_timestamp,receiver_quote,receiver_quote_timestamp,receiver_policy,receiver_policy_timestamp,sender_earned_amount_in_dollars,receiver_earned_amount_in_dollars
89532f35-c603-4e96-b3c6-f9c739d9ef4c,1,2/17/2018,1,4/9/2018,1,4/11/2018,50,50
b87a329e-ddba-4086-9d36-664802742c37,1,4/11/2018,1,5/2/2018,0,,50,50
bfd82ec4-73ec-494e-8c44-c8f2b3cc92e3,1,3/21/2018,0,,0,,,
d26bbd42-c085-4f8f-a801-ed5589b84cae,1,4/2/2018,0,,0,,,
2d9a9bf8-ddde-47a4-9edb-f8254ce4a607,1,3/19/2018,0,,0,,,
7987e871-b84b-4007-aec1-48d575f14389,1,4/3/2018,0,,0,,,
c94a3cbf-9570-480c-9a66-aab8fb81ddf5,1,4/15/2018,0,,0,,,
64f4a884-0081-4ad8-bf1a-951a1d18bcef,1,2/18/2018,0,,0,,,
6095fba7-bbe9-4a46-8a1a-d73d80496872,1,1/19/2018,0,,0,,,
90436e2a-031a-4722-8d18-a490695e60bc,1,3/31/2018,1,4/21/2018,1,4/23/2018,25,25
bcf3652c-85a1-411b-9e70-0d48b83fad41,1,4/30/2018,0,,0,,,
14b074cc-3a90-4fbe-9c00-15ec0f6612a2,1,2/24/2018,0,,0,,,
09782ec0-2d1b-455a-90f7-11a3c8b37f24,1,3/1/2018,1,3/28/2018,0,,50,50
6df3fe0c-ce19-4d6e-9c84-29e30c90aa98,1,3/2/2018,0,,0,,,
114aa64b-1a25-4446-b5bd-a6eae7029ceb,1,3/14/2018,1,3/31/2018,0,,50,50
922f395c-0a81-47b7-aed1-7503669b6e60,1,4/11/2018,1,4/29/2018,0,,25,25
9b2a54fc-94f6-497d-95d1-d0732a5ee983,1,4/9/2018,0,,0,,,
feb77ab6-850b-4921-9ca8-92838526fc37,1,3/27/2018,0,,0,,,
c562b53a-2648-4161-b9f6-676695d960aa,1,4/27/2018,0,,0,,,
4d3cf898-9ccf-47cc-bb13-b561c06bdf1a,1,3/24/2018,1,4/16/2018,0,,50,50
d10f396b-8114-4848-a3a8-78281d47d4f3,1,2/10/2018,1,2/28/2018,0,,25,25
3afa72b2-0b77-4cde-8d18-b92e42ff87a8,1,3/30/2018,1,4/30/2018,0,,50,50
71fc3b24-9221-42ea-9cd9-676c305cb4dc,1,3/23/2018,1,4/6/2018,0,,25,25
6a4beb2e-0707-487b-ade4-845c1522e81f,1,3/8/2018,1,4/7/2018,0,,50,50
7c11b26c-54d6-4d76-8a79-835f2131a615,1,3/29/2018,0,,0,,,
d10f396b-8114-4848-a3a8-78281d47d4f3,1,2/9/2018,1,3/3/2018,0,,25,25
2a93e3f9-be31-4469-bdae-e1c9ac08057f,1,5/5/2018,0,,0,,,
374fea5e-a4f0-41ee-a70a-393567afa04c,1,5/3/2018,0,,0,,,
50f8253b-861c-4314-8e48-b6f64d1ee0d9,1,4/18/2018,0,,0,,,
d2b1fc47-6bda-43d6-8283-ddaa2a0ad9ee,1,3/21/2018,1,4/4/2018,0,,25,25
7ca37116-9da1-4c75-9273-e7d190a72df8,1,4/13/2018,0,,0,,,
02297810-1640-4a05-82e9-9feea2f71158,1,4/30/2018,0,,0,,,
8f28ed3f-c274-4528-8bed-8625a051a71d,1,3/5/2018,1,3/24/2018,0,,25,25
9d8d0e4c-45fb-48fb-bf66-38acfdafeae1,1,4/19/2018,0,,0,,,
6a27d04e-211f-4a73-aef4-afdb010c8589,1,5/6/2018,0,,0,,,
ae2ef42d-7eb7-4d28-8526-eddf74c250dd,1,4/12/2018,0,,0,,,
b30e604b-4d81-4635-ac78-0234131e6838,1,5/4/2018,0,,0,,,
4080cd33-b180-4319-ab1b-5fe66c13f1ae,1,2/12/2018,1,3/5/2018,0,,25,25
3de76c3d-453d-4cf0-ad43-a59e6804299e,1,3/1/2018,0,,0,,,
1946efd1-3315-4b3e-a818-c6b36854af5a,1,3/2/2018,1,3/25/2018,0,,50,50
66c2af04-0f32-4dad-9f3f-27eb44797b20,1,2/17/2018,1,3/3/2018,1,3/3/2018,25,25
1c489bdb-e62e-4df5-9c76-ec1833e692c4,1,4/17/2018,0,,0,,,
ee15bf0c-fe76-4511-a649-2ab9854b578f,1,4/20/2018,0,,0,,,
ee58ca49-4e59-41be-8174-6473077ed1ca,1,3/30/2018,1,4/14/2018,0,,50,50
db7d132f-08dc-4059-9b34-4496e9159854,1,4/27/2018,0,,0,,,
dd74e773-d87e-46af-a176-1c7c370396c7,1,4/15/2018,0,,0,,,
c9798324-2fd9-47f5-8646-3e533dea8b8a,1,3/14/2018,1,4/5/2018,1,4/10/2018,50,50
2f7ab341-3c8e-4b28-ad4e-d0583dc4038e,1,3/24/2018,0,,0,,,
9a7a08af-ee75-4f74-9580-289595c0fdb8,1,3/1/2018,1,3/22/2018,0,,50,50
79180c17-ead8-47b5-93e8-4be9f811a664,1,4/19/2018,0,,0,,,
20a47e69-cf79-43d3-afaf-d18dacedffe6,1,3/13/2018,1,4/6/2018,0,,50,50
82397ee8-2275-4b50-a75f-c9d4cdf16cd0,1,4/10/2018,0,,0,,,
9ea5e96f-3a41-45b5-b7be-6cfaef849966,1,3/26/2018,1,4/12/2018,0,,25,25
3e8d45e7-7ec1-4f5e-86a3-36f91591176f,1,4/12/2018,0,,0,,,
bcf3652c-85a1-411b-9e70-0d48b83fad41,1,5/1/2018,0,,0,,,
b675becc-a1a6-4f40-8b11-12e5dc385c4d,1,2/28/2018,0,,0,,,
96184290-397c-4797-8c2a-a685f8d622a6,1,3/25/2018,1,4/17/2018,0,,25,25
b69fa9f3-d4a2-4190-9586-2e5f47b8aedf,1,2/28/2018,0,,0,,,
d9b0c3a5-facb-4697-9ba7-e124e4956213,1,4/24/2018,0,,0,,,
d2b1fc47-6bda-43d6-8283-ddaa2a0ad9ee,1,4/13/2018,0,,0,,,
a41cbc4a-4c75-408d-aea7-cf383b05cd68,1,4/3/2018,0,,0,,,
